shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,5,5,800,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,800,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,1,3,840,0.8091666666666667,0.7160023884161815,0.1235759070413703,0.18279924239753848,0.5
0.01,1,5,840,0.8091666666666667,0.714935064935065,0.14407627580913107,0.21288807695206016,0.5
0.01,1,10,840,0.8102777777777778,0.7157509157509158,0.15055937082314463,0.22370461834942634,0.5
0.01,2,3,840,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,840,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,2,10,840,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,840,0.8002777777777778,0.7004720853858785,0.13374710745176763,0.2027657464138221,0.5
0.01,3,5,840,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,3,10,840,0.8325,0.7501515725653656,0.13330793225122575,0.1983920140228028,0.5
0.01,5,3,840,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,5,5,840,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,840,0.8227777777777777,0.7390842490842491,0.138144921022778,0.19520010611018054,0.5
0.01,1,3,880,0.7880555555555555,0.6834849058986989,0.1129177960704607,0.16813903565734478,0.5
0.01,1,5,880,0.7991666666666667,0.699084249084249,0.1481947264740973,0.22015137904118592,0.5
0.01,1,10,880,0.8202777777777778,0.7316017316017316,0.14566230417891432,0.2152008193101015,0.5
0.01,2,3,880,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,880,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,2,10,880,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,880,0.8113888888888888,0.7171387520525451,0.14598214042258523,0.2209355395982028,0.5
0.01,3,5,880,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,3,10,880,0.8338888888888889,0.7525325249463181,0.117134570236893,0.1725632938679762,0.5
0.01,5,3,880,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,5,5,880,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,880,0.8338888888888889,0.7557509157509157,0.13859103865154135,0.19544494498725423,0.5
0.01,1,3,920,0.7991666666666667,0.699084249084249,0.1481947264740973,0.22015137904118592,0.5
0.01,1,5,920,0.7991666666666667,0.699084249084249,0.1481947264740973,0.22015137904118592,0.5
